DIGITAL_OBJECT - URL_TEXT,DIGITAL_OBJECT - URL,RECORD_URL,DESC,YEAR_DISPLAY,NAME,WILL_NO,YEAR,SHIP,PROPERTY,PROPERTY_INDEX,CORRES_SUBJ,SUBJ_SR,NAME_TITLE,NAME_RANK,NAME_SEE_ALSO,DESC_SR
CSO3-1-1 / A / Image 19,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-19,https://stors.tas.gov.au/NI/1590175,Application for licence to print newspaper (4925)|Charges incurred in pursuit of bushrangers (5976)|Land (7503),1824-1836,"Austin, James","4925, 5976, 7503",1824-1836,,,,,,,,,
CSO3-1-1 / A / Image 19,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-19,https://stors.tas.gov.au/NI/1590176,Memorial for his wife and family to be sent out to him,1824-1836,"Austin, Edward",4824,1824-1836,,,,,,,,,
CSO3-1-1 / A / Image 19,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-19,https://stors.tas.gov.au/NI/1590177,Land (3888)|Rations provided for the military (8038)|Mr Smith complaining of him. Investigation (8796)|Mechanics (6337)|Trees on his land (18575)|Return of offences (8959)|Complaining of Mr Smith continuing his servants (11858)|Respecting impounding laws (12849)|Fined (13280)|A man from the Watling Road Party (18792)|Medical man to attend his servants (13555)|Case of Boller (14974)|Elizabeth Moran (19111)|Respecting his female servant (17145)|Servant to be admitted to hospital (19001),1824-1836,"Ashburner, William","3888, 8038, 8796, 6337, 18575, 8959, 11858, 12849, 13280, 18792, 13555, 14974, 19111, 17145, 19001",1824-1836,,,,,,,,,
CSO3-1-1 / A / Image 19,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-19,https://stors.tas.gov.au/NI/1590178,Authority for the Secretary's fees (1098)|Receipts for duty H. Underwood (1098),1824-1836,,"331, 1098, 1098",1824-1836,,,,Auctioneers licences,Auctioneers licences,,,,
CSO3-1-1 / A / Image 19,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-19,https://stors.tas.gov.au/NI/1590179,Tenders to perform Government Duty (15023)|Tenders to invited for Colonial Commissariat Courier 16 November 1832. Gazette. 1 November 1833. (17171)|Appointed under Act of Council (17559),1824-1836,,"15023, 17171, 17559",1824-1836,,,,Auctioneer,Auctioneer,,,,
CSO3-1-1 / A / Image 19,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-19,https://stors.tas.gov.au/NI/1590180,Tendering their store for a Custom House,1824-1836,,4479,1824-1836,,,,Australian Company,Australian Company,,,,
CSO3-1-1 / A / Image 19,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-19,https://stors.tas.gov.au/NI/1590182,Under sentence of death memorial (1330)|Memo for remission of sentence (6078),1824-1836,"Arthur, Thomas","1330, 6078",1824-1836,Malabar,,,,,,,,
CSO3-1-1 / A / Image 20,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-3-20,https://stors.tas.gov.au/NI/1590191,Servants (14413)|For William Austin of Strathfieldsaye (17020),1824-1836,"Austin, Thomas","14413, 17020",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 1,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-1,https://stors.tas.gov.au/NI/1590198,For a ticket of leave further memorial (412)|Memo to be allowed to return to England (4184),1824-1836,"Barnett, Joseph","412, 4184",1824-1836,Medway,,,,,,,,
CSO3-1-1 / B / Image 1,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-1,https://stors.tas.gov.au/NI/1590199,For balance of bullock sold,1824-1836,"Bates, Thomas",12762,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 1,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-1,https://stors.tas.gov.au/NI/1590202,For reserve of land (734)|Copy of distillery regulations (13498)|As to Captain Crear (736)|To be allowed to distill and brew on same premises (2958)|Plan for supplying Launceston with water (290)|Servants (10518)|Servants (14389),1824-1836,"Barnes, William","734, 13498, 736, 2958, 290, 10518, 14389",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 1,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-1,https://stors.tas.gov.au/NI/1590203,Character of Lady East (1814)|Appointment to Field Police to be constable at New Norfolk (5356)|For a ticket of leave (6711),1824-1836,"Braley, George","1814, 5356, 6711",1824-1836,Lady East,,,,,,,,
CSO3-1-1 / B / Image 1,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-1,https://stors.tas.gov.au/NI/1590204,Post Master (852)|Respecting the payment of his salary (693)|Respecting the Sheriff (5058)|For additional land (5542)|Mechanics etc etc (8901)|Leave of absence (15753)|Appointed Controller of Customs Launceston (9685)|Gang cutting timber (16261)|Not reporting cases (17412)|Complaint against Glover cause of inadequate remuneration (17609)|Upon resigning (17881)|Customs to continue to act as controller (18934),1824-1836,"Bartley, Theodore","852, 693, 5058, 5542, 8901, 15753, 9685, 16261, 17412, 17609, 17881, 18934",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 1,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-1,https://stors.tas.gov.au/NI/1590205,Engineer for him to be overseer of the road parties,1824-1836,"Barber, David",2521,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 1,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-1,https://stors.tas.gov.au/NI/1590206,Requesting mechanics and rations (726)|Clearing gang (727)|For a pair of sawyers (728)|Anthony Jones (729)|Land (3656)|Respecting John Willman (730),1824-1836,"Barnard, Charles","726, 727, 728, 729, 3656, 730",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 1,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-1,https://stors.tas.gov.au/NI/1590207,Memorial for a licenced inn there,1824-1836,,1790,1824-1836,,,,Black Snake,Black Snake,,,,
CSO3-1-1 / B / Image 1,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-1,https://stors.tas.gov.au/NI/1590211,Mr. Crae (125)|Horse patrol passage money from Honduras (873)|Accounts (4780)|For assigned servants (5245)|?Â¿100 for the use of Dr Stockman (6143)|Moiety of salary charged against Van Diemens Land (14507),1824-1836,"Barnard, Edward","125, 873, 4780, 5245, 6143, 14507",1824-1836,,,,,,"Colonial Agent, London",,,
CSO3-1-1 / B / Image 1,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-1,https://stors.tas.gov.au/NI/1590215,For the sawyers to continue with them 2 months longer,1824-1836,"Bryant, J",407,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 1,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-1,https://stors.tas.gov.au/NI/1590219,For remission of sentence (5221)|Praying to be assigned (6062),1824-1836,"Bannister, Catherine","5221, 6062",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 2,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-2,https://stors.tas.gov.au/NI/1590225,For a pair of sawyers (764)|Land (3638)|For a remission of sentence of his son (791),1824-1836,"Barns, J","764, 3638, 791",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 2,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-2,https://stors.tas.gov.au/NI/1590227,His orphan child (806)|Application for 10 acres (2572)|Necessity of a punt at the Western River (1265)|Depredations on cattle (1722)|Respecting his grant of land (3566)|To erect a pound (4227)|For a pair of sawyers (4716)|For the erection of a bridge over the Liffy (6547)|Pointing out a eligible situation for barracks at the Western River (6233),1824-1836,"Bryan, William","806, 2572, 1265, 1722, 3566, 4227, 4716, 6547, 6233",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 2,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-2,https://stors.tas.gov.au/NI/1590229,Hoping for free meals,1824-1836,"Bannon, J. Laurence",5146,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 2,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-2,https://stors.tas.gov.au/NI/1590230,For a carpenter (818)|Servants (11256)|Land (3643)|As to the measurement of grants on the Tamar (12679)|Returning min to Government  (15361)|Respecting charges against his brothers (18789),1824-1836,"Bryan, Samuel","818, 11256, 3643, 12679, 15361, 18789",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 2,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-2,https://stors.tas.gov.au/NI/1590236,Memorial for mitigation of sentence,1824-1836,"Barnes, James",1248,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 3,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-3,https://stors.tas.gov.au/NI/1590241,For his family to be brought out to him,1824-1836,"Babington, E",2104,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 3,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-3,https://stors.tas.gov.au/NI/1590242,Servants (13234)|For leave to reside in the barracks Westbury (13285)|Respecting erecting a school house at Sorell Springs (16338)|As to his purchase of a lot of land (16951)|Complaining of road (17034),1824-1836,"Ball, J.W.P","13234, 13285, 16338, 16951, 17034",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 3,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-3,https://stors.tas.gov.au/NI/1590249,For a ticket of leave,1824-1836,"Barrett, William",4955,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 3,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-3,https://stors.tas.gov.au/NI/1590252,Account for hides,1824-1836,"Blake, Samuel",5417,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 3,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-3,https://stors.tas.gov.au/NI/1590254,Recommending a military station at Oatlands (1735)|Forage (204)|W Athorne (211)|Recommendation for a jail at Ross (374)|Land (503)|Certificate by W. Shaw (1653)|To purchase (456)|Respecting magistrates complaining for Mr. Waker (Magistrate) (6146)|Charging Police Magistrate with neglect of duty (213),1824-1836,"Balfour , Given Name Not Recorded","1735, 204, 211, 374, 503, 1653, 456, 6146, 213",1824-1836,,,,,,,Colonel,,
CSO3-1-1 / B / Image 3,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-3,https://stors.tas.gov.au/NI/1590258,Under sentence of death memorial (3287)|List of his offences (5632)|Not to be sent to Macquarie Harbour (5669)|For his wife and family to accompany him to Macquarie Harbour (3917),1824-1836,"Bradshaw, Charles","3287, 5632, 5669, 3917",1824-1836,,Macquarie Harbour Penal Station,Macquarie Harbour Penal Station,,,,,,
CSO3-1-1 / B / Image 4,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-4,https://stors.tas.gov.au/NI/1590262,Recommending his servants to survey land of the Van Diemen Land Company (2592)|Payment for survey of Kings Island (243)|Report on Brig Derwent (2699)|Bridge over the North Esk (3100)|Payment as a surveyor of the district of Horton (365)|A Compensation for the loss sustained in the disappointment of his arrangements (4089),1824-1836,"Barnard, G.W","2592, 243, 2699, 3100, 365, 4089",1824-1836,Derwent,,,,,,,,
CSO3-1-1 / B / Image 4,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-4,https://stors.tas.gov.au/NI/1590264,For a ticket of leave,1824-1836,"Bramwick, William",4066,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 4,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-4,https://stors.tas.gov.au/NI/1590267,As to his ticket of leave (4251)|For a conditional pardon (7202),1824-1836,"Baker, Joseph","4251, 7202",1824-1836,Pegasus,,,,,,,,
CSO3-1-1 / B / Image 4,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-4,https://stors.tas.gov.au/NI/1590269,To be discharged from jail (3448)|For his wife and family to be sent out (5234),1824-1836,"Bailey, John","3448, 5234",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 4,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-4,https://stors.tas.gov.au/NI/1590270,As to fitting up sergeant room (2468)|Appointment of sanctioned (2334)|As to employment of mechanics for a convict visited (11723)|Labourer and Messengers (18383)|Removal of dung from mounted police (18664)|Mr. Mason appointed (18770),1824-1836,,"2468, 2334, 11723, 18383, 18664, 18770",1824-1836,,,,Barrack Master,Barrack Master,,,,
CSO3-1-1 / B / Image 5,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-5,https://stors.tas.gov.au/NI/1590274,His children enquiring for him,1824-1836,"Bay, William",5874,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 5,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-5,https://stors.tas.gov.au/NI/1590278,"To marry  (5763)|To be appointed Pound Keeper and Special Constable (8091)|Going to Port Phillip (17296)|Complaining of Mr Lakeland. Kingston Farm, Ben Lomond (7138)|McQuides complaint (14459)|Complaint by Robinson (17329)|Land (7263)|For mitigation of penalty employing a runaway (9469)|To take two men to New Holland (17075)|For assistance to erect a bridge (13774)|A constable wanted (15322)",1824-1836,"Batman, John","5763, 8091, 17296, 7138, 14459, 17329, 7263, 9469, 17075, 13774, 15322",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 5,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-5,https://stors.tas.gov.au/NI/1590280,For W. Tooveys men to be transferred to him (5599)|To marry (4399),1824-1836,"Barnes, William","5599, 4399",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 5,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-5,https://stors.tas.gov.au/NI/1590283,For the loan of a bricklayer (5413)|Mr O'Connor complaining of (8870),1824-1836,"Branscomb, J.R","5413, 8870",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 5,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-5,https://stors.tas.gov.au/NI/1590290,For a ticket of leave,1824-1836,"Bragg, James",4553,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 6,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-6,https://stors.tas.gov.au/NI/1590297,Applying for indulgence,1824-1836,"Baker, George",4404,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 7,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-7,https://stors.tas.gov.au/NI/1590325,For a free pardon,1824-1836,"Bass, William",6843,1824-1836,Phoenix,,,,,,,,
CSO3-1-1 / B / Image 7,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-7,https://stors.tas.gov.au/NI/1590326,Respecting his memo for a ticket of leave,1824-1836,"Barns, David",6889,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 7,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-7,https://stors.tas.gov.au/NI/1590327,For a salary,1824-1836,"Barnsley, Joshua",6904,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 7,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-7,https://stors.tas.gov.au/NI/1590328,For renewal of his free certificate,1824-1836,"Briant, John",6917,1824-1836,Lord Melville,,,,,,,,
CSO3-1-1 / B / Image 7,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-7,https://stors.tas.gov.au/NI/1590329,For employment as Assistant Surgeon,1824-1836,"Bain, William",6931,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 7,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-7,https://stors.tas.gov.au/NI/1590330,Recommended for indulgence,1824-1836,"Bate, Andrew",7124,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 7,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-7,https://stors.tas.gov.au/NI/1590333,Made a Special Constable (7807)|Dismissed as Constable and Bothwell and for employment (11302)|For his family to be rationed (7808),1824-1836,"Baldwin, James","7807, 11302, 7808",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 7,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-7,https://stors.tas.gov.au/NI/1590338,For a town allotment (9024)|Resignation as Clerk of Customs (10580),1824-1836,"Ballantyne, R.H","9024, 10580",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 7,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-7,https://stors.tas.gov.au/NI/1590340,For a boats crew (10499)|Servants (10911)|Appointed a Pilot (3976)|About the water (5605)|To make bricks (11782),1824-1836,"Bamber, John","10499, 10911, 3976, 5605, 11782",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 7,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-7,https://stors.tas.gov.au/NI/1590345,Appointment (10019)|Land regulations (16962)|Employment (Communication for House Guards) (16547)|A constable and to be first in  (17161),1824-1836,"Barrow , Given Name Not Recorded","10019, 16962, 16547, 17161",1824-1836,,,,,,,Lieutenant,,
CSO3-1-1 / B / Image 8,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-8,https://stors.tas.gov.au/NI/1590347,For his family to be sent out,1824-1836,"Blackburn, Thomas",7143,1824-1836,Caledonia,,,,,,,,
CSO3-1-1 / B / Image 8,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-8,https://stors.tas.gov.au/NI/1590350,For a town allotment (7326)|Appointed Post Master at Oatlands and keeper of the Gaol Oatlands (8356),1824-1836,"Bradley, Frederick J","7326, 8356",1824-1836,,Oatlands Gaol,Oatlands Gaol,,,,,,
CSO3-1-1 / B / Image 8,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-8,https://stors.tas.gov.au/NI/1590364,For a town allotment (9059)|Servants (10822),1824-1836,"Blay, William","9059, 10822",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 9,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-9,https://stors.tas.gov.au/NI/1590378,Application to print government notices (60)|For licence to print newspaper (4925)|Sundry papers relative to his demand on government for gazettes (4725)|Servants (14038)|Servants clothes (17046)|To be allowed a printer (18981)|Gazette and government printing (428)|New boats Arthur groundless (1916),1824-1836,"Bent, Andrew","60, 4925, 4725, 14038, 17046, 18981, 428, 1916",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 9,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-9,https://stors.tas.gov.au/NI/1590385,Not allowed to land from the Sir Charles Forbes (162)|To go to Sydney (272)|Land and schedule of property (3263)|Payment of ?Â¿10 to (7662)|For employment (9120)|Resignation in Customs (13768)|Pay performing duty at Wharf (14432),1824-1836,"Beauvais, A","162, 272, 3263, 7662, 9120, 13768, 14432",1824-1836,Sir Charles Forbes,,,,,,,,
CSO3-1-1 / B / Image 9,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-9,https://stors.tas.gov.au/NI/1590386,Of Thomas Proctor and John James being discharged from the Caledonia (1965)|For his schooner to go to Oyster Bay (4374)|Seizure of a cask of brandy (4375)|Land (4645)|Land (3263)|Respecting his farm at New Town (7333)|Tenders (8686)|Town allotment (8736)|Servants (12377)|Captain Smiths land (6663),1824-1836,"Bell, John","1965, 4374, 4375, 4645, 3263, 7333, 8686, 8736, 12377, 6663",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 9,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-9,https://stors.tas.gov.au/NI/1590390,Measurement of Nowlans grant (761)|To exchange land with W Scott (3851)|To land and for his family to be sent out (7176)|Stores (1837),1824-1836,"Brennan, James","761, 3851, 7176, 1837, 6509",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 10,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-10,https://stors.tas.gov.au/NI/1590393,For the assignment of her husband to her,1824-1836,"Bellinger, Ann",810,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 10,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-10,https://stors.tas.gov.au/NI/1590397,Respecting John Whitehouse (820)|For Whitehouse to be assigned to him (880)|Return of sums received as duties for increase of salary (1958)|J Thomas complaining of him (7353)|Complaining of the contractors refusing to send their meat to the slaughter house (8349),1824-1836,"Belbion, J","820, 880, 1958, 7353, 8349",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 10,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-10,https://stors.tas.gov.au/NI/1590399,For employment,1824-1836,"Brenan, Thomas",904,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 10,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-10,https://stors.tas.gov.au/NI/1590402,Various letters (2633)|Acting Sheriff (1824)|Respecting his appointment as Clerk to the Council. Land as compensation (1757)|As to his appointment as Registrar of Deeds. Land as compensation (4830)|For leave of absence (6349)|To be appointed Treasurer (14124),1824-1836,"Beaumont, John","2633, 1824, 1757, 4830, 6349, 14124",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 10,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-10,https://stors.tas.gov.au/NI/1590406,For employment (4915)|Accepting his appointment (5617)|Letter to J F Marzetti (1668),1824-1836,"Brett, Thomas","4915, 5617, 1668",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 10,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-10,https://stors.tas.gov.au/NI/1590407,Application for licence for Albion Hotel,1824-1836,"Bentley, Thomas",866,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 11,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-11,https://stors.tas.gov.au/NI/1590411,Memo for resumption of sentence,1824-1836,"Bennett, James",5625,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 11,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-11,https://stors.tas.gov.au/NI/1590412,For indulgences (805)|Comply of his wife (8512),1824-1836,"Bennett, William","805, 8512",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 11,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-11,https://stors.tas.gov.au/NI/1590415,Returns for it,1824-1836,,5714,1824-1836,,,,Blue book,Blue book,,,,
CSO3-1-1 / B / Image 11,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-11,https://stors.tas.gov.au/NI/1590429,A reward offered for him,1824-1836,"Bevan, John",5530,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 12,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-12,https://stors.tas.gov.au/NI/1590433,For a conditional pardon,1824-1836,"Bertrand, Thomas",6503,1824-1836,Morly,,,,,,,,
CSO3-1-1 / B / Image 12,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-12,https://stors.tas.gov.au/NI/1590434,For a ticket of leave,1824-1836,"Bennett, John",6844,1824-1836,Juliana,,,,,,,,
CSO3-1-1 / B / Image 12,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-12,https://stors.tas.gov.au/NI/1590435,Land New Norfolk (6884)|Reward for burning his house (14767),1824-1836,"Bell, John","6884, 14767",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 12,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-12,https://stors.tas.gov.au/NI/1590439,For remainder of her time,1824-1836,"Berry, Elizabeth",7583,1824-1836,Lord Sidmouth,,,,,,,,
CSO3-1-1 / B / Image 13,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-13,https://stors.tas.gov.au/NI/1590444,For a conditional pardon,1824-1836,"Bettelley, Martha",7285,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 13,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-13,https://stors.tas.gov.au/NI/1590447,For her husband to be assigned to her,1824-1836,"Beck, Catherine",7535,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 13,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-13,https://stors.tas.gov.au/NI/1590464,Amount advanced by the Government (18278)|(Launceston) for the loan of a man (258),1824-1836,,"18278, 258",1824-1836,,Benevolent Society,Benevolent Society,Benevolent Society,Benevolent Society,,,,
CSO3-1-1 / B / Image 14,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-14,https://stors.tas.gov.au/NI/1590467,For mitigation of sentence,1824-1836,"Bird, Thomas",5661,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 14,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-14,https://stors.tas.gov.au/NI/1590474,For a ticket of leave,1824-1836,"Bright, William",5373,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 15,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-15,https://stors.tas.gov.au/NI/1590480,Destroyed by fire  (5410)|As to rebuilding it by the chain gang. (5571)|Proposal for one by the inhabitants (327),1824-1836,,"5410, 5571, 327",1824-1836,,,,Bridge near New Norfolk,Bridge near New Norfolk,,,,
CSO3-1-1 / B / Image 15,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-15,https://stors.tas.gov.au/NI/1590481,For bedding for his gang (4990)|Recommended as overseer (4947),1824-1836,"Brice, Given Name Not Recorded","4990, 4947",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 15,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-15,https://stors.tas.gov.au/NI/1590489,For a bricklayer (849)|Land (3647)|Punt at New Norfolk (1985)|Establishing a ferry (9968)|House rented for a school house (14255),1824-1836,"Bridger, Ann","849, 3647, 1985, 9968, 14255",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 15,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-15,https://stors.tas.gov.au/NI/1590492,"Further land (759)|Refusing a permit to have mine (1019)|Thomas Dillon (874)|As to relinquishing his fees (821)|For a well sinker (13761)|Tendering house, Archdeacon (14380)|Allotment for national school (14750)",1824-1836,"Bisdee, John","759, 1019, 874, 821, 13761, 14380, 14750",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 15,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-15,https://stors.tas.gov.au/NI/1590495,His order for land might be sent to Sydney,1824-1836,"Briggs, Henry",859,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 16,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-16,https://stors.tas.gov.au/NI/1590499,For a conditional pardon,1824-1836,"Brighton, William",4369,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 16,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-16,https://stors.tas.gov.au/NI/1590506,For appointment see under Colonial Surveyor. Correspondence about Female House of Correction,1824-1836,"Bedford, E.J.P",19161,1824-1836,,Female House of Correction,Female House of Correction,,,,,,
CSO3-1-1 / B / Image 16,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-16,https://stors.tas.gov.au/NI/1590508,For employment,1824-1836,"Bridle, John",441,1824-1836,,,,,,,,,
